time_days,grat_truth_day,grat_matched_day,orat_truth_day,orat_matched_day,wrat_truth_day,wrat_matched_day
2463.0,3.518301261430005e6,3.4909268134075915e6,1563.1804576267439,1557.0654548638722,8.881466881002292e-6,9.372431426899542e-6
2494.0,3.507348686774812e6,3.4858822752976837e6,1542.7127943857156,1535.3248305519885,8.957373528199447e-6,9.438900814479427e-6
2524.0,3.497117213959274e6,3.4869656662507146e6,1522.8282836623891,1511.8634723179853,9.029181589749271e-6,9.500936989886242e-6
2555.0,3.484682172680584e6,3.4862717056604796e6,1503.4805197813425,1487.7771058424369,9.101059231065458e-6,9.565636344515193e-6
2586.0,3.472864247379453e6,3.4839219165213453e6,1484.3026830522958,1464.8600682787596,9.170244005798443e-6,9.627998094138345e-6
2614.0,3.4722081976885223e6,3.480399825119818e6,1463.7703118204831,1445.3307373488815,9.227416507463533e-6,9.681918396822116e-6
2645.0,3.4754921841092473e6,3.471956042857706e6,1439.1369890613432,1426.2785057240224,9.289576297861808e-6,9.739384527806212e-6
2675.0,3.477746624449493e6,3.462840938792903e6,1415.5427746209905,1409.700805676151,9.349064492013475e-6,9.790422188526448e-6
2706.0,3.476254842804422e6,3.4564692475709184e6,1393.2382378614172,1393.0557552006826,9.408608993788289e-6,9.837533460572117e-6
2736.0,3.4724651243362506e6,3.453590659940147e6,1373.7892087419157,1376.7809650863594,9.462482100995144e-6,9.87902996082803e-6
2767.0,3.4688592143604076e6,3.454032499298304e6,1354.8459603531853,1359.1287183980853,9.513839988556178e-6,9.919349344368391e-6
2798.0,3.4692861520994543e6,3.455847461863538e6,1335.4195557263552,1340.9064816776204,9.560750006112625e-6,9.9587680650243e-6
2828.0,3.4704749172916207e6,3.4574372968596574e6,1316.6828130813362,1323.206052580813,9.604288884723578e-6,9.996553193375262e-6
2859.0,3.472001165114199e6,3.4611287700345605e6,1297.7117592706436,1304.8527869364696,9.647210872962895e-6,1.003290637781982e-5
2889.0,3.472913009778963e6,3.4661825355423195e6,1280.140989048109,1286.3296538646612,9.686793968313067e-6,1.0067581200623407e-5
2920.0,3.474966921564944e6,3.4711207188708247e6,1262.5888830615559,1266.7523591760817,9.724408275152352e-6,1.0103944755989525e-5
2951.0,3.4784075687033804e6,3.4777483675603997e6,1244.9369728753734,1247.7090576019384,9.76012207395556e-6,1.0136849215474175e-5
2979.0,3.4819384583931114e6,3.485271639908747e6,1229.0212129799986,1230.6743476013862,9.791342468061036e-6,1.0164232058777674e-5
3010.0,3.4862740375174712e6,3.494148218980531e6,1211.9243506476726,1211.7812130952298,9.823773869633401e-6,1.0193579141920546e-5
3040.0,3.4911464419529405e6,3.5018710667225374e6,1195.8462058228088,1193.5819831299943,9.85296894113005e-6,1.0222110100946772e-5
3071.0,3.4970273184379977e6,3.5087984670480653e6,1179.4574571549958,1175.1644285882055,9.881345530290922e-6,1.0251256415469472e-5
3101.0,3.5038451337393583e6,3.514675054414764e6,1163.4295597896164,1157.7296997711442,9.9076190977368e-6,1.0278930072671332e-5
3132.0,3.5106262898461167e6,3.5199848366449377e6,1146.7268667171427,1140.5051553570593,9.934869617595151e-6,1.0306178907475387e-5
3163.0,3.5173886698494065e6,3.525251834305004e6,1130.3090776561453,1123.9993018885677,9.9611184663427e-6,1.0331631175430228e-5
3193.0,3.5243625408316758e6,3.5306817546802834e6,1114.7372700079607,1108.5259046377882,9.985091426869818e-6,1.0354630654398036e-5
3224.0,3.532090254665433e6,3.5367453852030807e6,1098.7687037517044,1092.9782849818,1.0008756399985042e-5,1.0376816851742324e-5
3254.0,3.5399048991466444e6,3.5428552760246308e6,1083.3647120739063,1078.211894918823,1.0030897756363597e-5,1.0397227813750038e-5
3285.0,3.5481677256711978e6,3.549216407681491e6,1067.5092631138214,1063.1583831918801,1.0053130264866682e-5,1.0417562754279192e-5
3316.0,3.5572540934120435e6,3.558283264295199e6,1051.9822699726842,1047.0501667870956,1.0073687513664268e-5,1.0437142603067547e-5
3344.0,3.5659102396939816e6,3.5685996994541665e6,1038.2146877749603,1031.4055896219936,1.00911327001373e-5,1.045465243316593e-5
3375.0,3.574843303724053e6,3.578075425775649e6,1023.2657755405729,1014.3615755725441,1.011019401517596e-5,1.047472651028239e-5
3405.0,3.5822362988889217e6,3.5845256921656663e6,1009.0884314624873,998.7874220669761,1.0128891775266132e-5,1.0494335643418425e-5
3436.0,3.5852945180645697e6,3.5883889506825972e6,996.0098510383319,983.7814175572217,1.0148928004645695e-5,1.051454667209999e-5
3466.0,3.5869626716903835e6,3.589842659890509e6,984.2511532255824,970.2427023728869,1.0167504067502974e-5,1.0533846897060624e-5
3497.0,3.588681499365451e6,3.589240582665994e6,972.3974427047098,957.1868433917128,1.018588756724896e-5,1.0553452637114754e-5
3528.0,3.59060384260548e6,3.5867453837946863e6,960.634950852614,944.9759202499959,1.0203650640404828e-5,1.0572689411202408e-5
3558.0,3.592490899752256e6,3.582825637281574e6,949.2974921592072,933.9244751403332,1.0220457379627033e-5,1.0590805228068292e-5
3589.0,3.5943300059434427e6,3.5773779843296353e6,937.6898763645797,923.2844490879215,1.0237441161072825e-5,1.0608925508808022e-5
3619.0,3.59591963937277e6,3.5709099704554384e6,926.679950757308,913.6737083393143,1.0253387736870224e-5,1.0625883461164912e-5
3650.0,3.5963081769894413e6,3.562896823658798e6,915.5697329347813,904.5383844175909,1.0270082267714073e-5,1.0642767149077054e-5
