# L-BFGS iteration log for spe1_zone_LBFGS.jl
label,iter,loss,grad_norm,step,ls_iter,ls_flag
# section,hierarchical clustering — refinement 1
hierarchical clustering — refinement 5,8,8.5095963331344223e-03,2.1643856061483491e-02,4.4193244902351214e-02,2.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 5,9,8.3742020901482472e-03,1.9959646634375140e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 5,10,8.2629144341702099e-03,3.2270882055101993e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 5,11,8.1035239971862811e-03,5.6322322949607873e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 5,12,7.9577974007646671e-03,7.8060626476865957e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 5,13,7.8678388976684607e-03,3.9041648969670620e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 5,14,7.8425444982583841e-03,1.8227879655538581e-02,2.1600918662045113e-01,2.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 5,15,7.7529844360695868e-03,1.4141144995771749e-02,1.4767709474670632e+00,4.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 5,16,7.7455484119571772e-03,6.0834684780346635e-02,1.9500941246180184e-01,2.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 5,17,7.5918872914155534e-03,4.4647881756628205e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 5,18,7.5078320487340288e-03,3.2312150417526740e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 5,19,7.5053938188945710e-03,1.6824213694243105e-02,3.6896178234460447e-01,2.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 5,20,7.4850834338645528e-03,7.5619364053742819e-03,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 5,21,7.4775909413181841e-03,1.8228891271720695e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 5,22,7.4684213662870253e-03,1.3791164320446248e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 5,23,7.4653429667817959e-03,9.2482786886785035e-03,3.8375552838786525e-01,2.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 5,24,7.4652555750121287e-03,1.6877190235433544e-03,4.8251016738669758e-02,5.0000000000000000e+00,-2.0000000000000000e+00
hierarchical clustering — refinement 5,summary,7.4652555750121287e-03,1.6877190235433544e-03,8.7391769667231889e-08,1.1706467218584128e-05,|Δloss| 8.739e-08 < obj_change_tol 1.000e-06
# section,hierarchical clustering — refinement 6
hierarchical clustering — refinement 6,0,4.3576372690639237e-01,3.7782407284774400e-01,NaN,NaN,NaN
hierarchical clustering — refinement 6,1,3.1812715580835421e-01,2.7480181877375026e-01,5.0488445824372139e+00,2.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 6,2,3.1069308193090961e-01,1.3970003704309172e-01,2.2306977339926490e-01,2.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 6,3,2.9666419014451417e-01,3.2794661378884804e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 6,4,2.9397615035624403e-01,1.6988026863707958e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 6,5,2.9001735975146370e-01,1.6800052508688554e-01,4.3228833888372487e-01,2.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 6,6,2.8447041647133037e-01,1.5328037469261105e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 6,7,2.7603368326272565e-01,1.0833735025476013e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 6,8,2.7413184848689992e-01,9.6372436282085153e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 6,9,2.7166786009010707e-01,3.5102689969595598e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 6,10,2.7052405330626361e-01,3.4583786254748797e-02,1.0000000000000000e+00,1.0000000000000000e+00,-1.0000000000000000e+00
hierarchical clustering — refinement 6,11,2.6639690786545417e-01,2.9518736005200021e-02,1.1137743668750537e+00,3.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 6,12,2.6616512081295246e-01,2.8407615234029144e-02,4.3245718853121111e-02,2.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 6,13,2.6552708519427221e-01,2.8419846393646836e-02,1.4246265564831095e-01,4.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 6,14,2.6500465830523856e-01,2.4821932995853373e-02,6.4964004902590952e-02,2.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 6,15,2.6475576015259666e-01,2.7278556947305344e-02,5.8935123109524734e-01,2.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 6,16,2.6474027559022301e-01,1.7681491161928842e-02,1.0706352639241350e-01,3.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 6,17,2.6472337327677575e-01,1.0070561238638734e-02,2.5465734587292632e-01,3.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 6,18,2.6472258126125875e-01,1.1802018741499082e-02,7.4592343019468912e-04,5.0000000000000000e+00,-2.0000000000000000e+00
hierarchical clustering — refinement 6,summary,2.6472258126125875e-01,1.1802018741499082e-02,7.9201551700380790e-07,2.9918698783847070e-06,|Δloss| 7.920e-07 < obj_change_tol 1.000e-06
# section,hierarchical clustering — refinement 7
hierarchical clustering — refinement 7,0,1.0289058001224928e-01,2.6711105639434163e-01,NaN,NaN,NaN
hierarchical clustering — refinement 7,1,8.6557479596945208e-02,2.0375856315845514e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
hierarchical clustering — refinement 7,2,4.3995193178355249e-02,2.0263823060997838e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
