# L-BFGS iteration log for spe1_zone_LBFGS.jl
label,iter,loss,grad_norm,step,ls_iter,ls_flag
# section,sign_cons — refinement 1
sign_cons — refinement 1,0,7.6855493131697896e+00,1.4500000000000000e+00,NaN,NaN,NaN
sign_cons — refinement 5,8,1.7433000616019020e-01,3.0357047958377698e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 5,9,1.7107013749771988e-01,9.1230571562368179e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 5,10,1.6641867915335706e-01,8.8676182792157177e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 5,11,1.6511457346324013e-01,1.2013335704620198e+00,3.5424351284076344e-01,2.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 5,12,1.6365765380300254e-01,2.1547376014264583e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 5,13,1.6295299929430254e-01,2.2831709500369557e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 5,14,1.6159853993488407e-01,7.9729632704984532e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 5,15,1.6096127299439883e-01,1.4811482948012372e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 5,16,1.5986821616597413e-01,1.8444296658315862e-01,4.5002483756131884e-01,2.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 5,17,1.5899020058678931e-01,1.0175308160273742e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 5,18,1.5850505667087492e-01,5.2097649651612710e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 5,19,1.5830244521704931e-01,1.2229881783582562e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 5,20,1.5827734688898804e-01,7.3027131583449215e-02,3.8894321159487399e-01,2.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 5,21,1.5826883894552882e-01,1.3957092704887636e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 5,22,1.5825122534767547e-01,7.9245618967997450e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 5,23,1.5825102965887153e-01,2.1916269124692835e-02,1.0794654208699146e-06,5.0000000000000000e+00,-2.0000000000000000e+00
sign_cons — refinement 5,summary,1.5825102965887153e-01,2.1916269124692835e-02,1.9568880393894261e-07,1.2365720738801671e-06,|Δloss| 1.957e-07 < obj_change_tol 1.000e-06
# section,sign_cons — refinement 6
sign_cons — refinement 6,0,9.6035304738957594e-01,8.0373455505148594e-01,NaN,NaN,NaN
sign_cons — refinement 6,1,9.5604339249849191e-01,5.9061260463449761e-01,1.8286232181557388e-01,2.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 6,2,9.4983879647348624e-01,3.2851101778424292e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 6,3,9.4369286116993101e-01,2.0748286416811048e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 6,4,9.2428448722773660e-01,4.6595933536142873e+00,6.4816150282444041e-01,2.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 6,5,9.1124591172564584e-01,1.2572839205891958e+01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 6,6,8.8715597588785400e-01,1.2047685480857558e+01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 6,7,8.8654101797890483e-01,2.7930291891823771e+00,8.7608623485896542e-02,5.0000000000000000e+00,-2.0000000000000000e+00
sign_cons — refinement 6,8,8.8654101797890483e-01,2.4477480932762510e+00,5.9761208150197709e-17,5.0000000000000000e+00,-2.0000000000000000e+00
sign_cons — refinement 6,summary,8.8654101797890483e-01,2.4477480932762510e+00,0.0000000000000000e+00,0.0000000000000000e+00,|Δloss| 0.000e+00 < obj_change_tol 1.000e-06
# section,sign_cons — refinement 7
sign_cons — refinement 7,0,5.4666060542835578e-02,3.1277775858913359e-01,NaN,NaN,NaN
sign_cons — refinement 7,1,5.3330564721685278e-02,2.8024447828039878e-01,5.6779291182050821e-02,2.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 7,2,5.3330564721685278e-02,1.3842465502115334e-01,5.0137272048757213e-15,5.0000000000000000e+00,-2.0000000000000000e+00
sign_cons — refinement 7,summary,5.3330564721685278e-02,1.3842465502115334e-01,0.0000000000000000e+00,0.0000000000000000e+00,|Δloss| 0.000e+00 < obj_change_tol 1.000e-06
# section,sign_cons — refinement 8
sign_cons — refinement 8,0,7.6666604667437563e-02,3.1708256269092416e-01,NaN,NaN,NaN
sign_cons — refinement 8,1,7.5270159234845660e-02,1.9000928176161780e-01,1.4066124591283379e-02,2.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 8,2,7.5267403665767396e-02,1.0584919248484234e-01,1.9848466930276344e-02,5.0000000000000000e+00,-2.0000000000000000e+00
sign_cons — refinement 8,3,7.5223444390418309e-02,1.0578995842918301e-01,9.6568872341975410e-03,5.0000000000000000e+00,-2.0000000000000000e+00
sign_cons — refinement 8,4,7.4321840546173482e-02,9.7092916447814745e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 8,5,7.4321840546173482e-02,1.9246733159354512e-01,8.0797570123401359e-16,5.0000000000000000e+00,-2.0000000000000000e+00
sign_cons — refinement 8,summary,7.4321840546173482e-02,1.9246733159354512e-01,0.0000000000000000e+00,0.0000000000000000e+00,|Δloss| 0.000e+00 < obj_change_tol 1.000e-06
# section,sign_cons — refinement 9
sign_cons — refinement 9,0,5.3470243996592622e-02,2.5733935415476583e-01,NaN,NaN,NaN
sign_cons — refinement 9,1,5.3469787401271784e-02,1.7358682359634639e-01,2.3013074135387912e-09,5.0000000000000000e+00,-2.0000000000000000e+00
sign_cons — refinement 9,summary,5.3469787401271784e-02,1.7358682359634639e-01,4.5659532083713872e-07,8.5393143124088526e-06,|Δloss| 4.566e-07 < obj_change_tol 1.000e-06
# section,sign_cons — refinement 10
sign_cons — refinement 10,0,5.2782297856791650e-02,2.7954826254615917e-01,NaN,NaN,NaN
sign_cons — refinement 10,1,5.2495708225423571e-02,1.6982513266925608e-01,2.4538554761188762e-02,2.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 10,2,5.2311574152541333e-02,1.4098373237994560e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 10,3,5.0305368707672000e-02,9.1274240396389414e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 10,4,4.8765429754536065e-02,1.3313979119683211e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 10,5,4.5905785312963979e-02,3.1048018511456965e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 10,6,4.3477012771170165e-02,4.6960928728249501e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 10,7,4.2877520765057298e-02,4.0832036151972639e-01,1.7232165602601426e-01,2.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 10,8,4.1802003635921396e-02,1.7142849489334125e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 10,9,4.1310218156255810e-02,9.8419163724444869e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 10,10,3.9827842346710461e-02,7.6886294705949237e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 10,11,3.7451049328964821e-02,9.7679083806289230e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 10,12,3.6611866623034395e-02,6.6471502748277900e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 10,13,3.5772315118144216e-02,2.6337025875304171e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 10,14,3.5060677906457838e-02,1.7840725065734772e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 10,15,3.4803500211705363e-02,8.4216979959890609e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 10,16,3.4530077139955040e-02,7.7868401869893286e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 10,17,3.4294853300069039e-02,1.1551383227729103e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 10,18,3.4067510222231923e-02,6.8695580332823150e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 10,19,3.3680299330767743e-02,1.1493865045951340e-01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 10,20,3.3563705242198073e-02,6.3215348180100994e-02,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
sign_cons — refinement 10,21,3.3563705242198073e-02,7.2139645192586893e-02,1.0628120420350770e-15,5.0000000000000000e+00,-2.0000000000000000e+00
sign_cons — refinement 10,summary,3.3563705242198073e-02,7.2139645192586893e-02,0.0000000000000000e+00,0.0000000000000000e+00,|Δloss| 0.000e+00 < obj_change_tol 1.000e-06
